,Date,Dollars per Million Btu
371,1998 06 09 Tue,2.01
372,1998 06 10 Wed,1.98
373,1998 06 11 Thu,1.99
374,1998 06 12 Fri,2.01
375,1998 06 15 Mon,2.08
376,1998 06 16 Tue,2.1
377,1998 06 17 Wed,2.05
378,1998 06 18 Thu,2.14
379,1998 06 19 Fri,2.2
380,1998 06 22 Mon,2.35
381,1998 06 23 Tue,2.35
382,1998 06 24 Wed,2.4
383,1998 06 25 Thu,2.39
384,1998 06 26 Fri,2.4
385,1998 06 29 Mon,2.36
386,1998 06 30 Tue,2.39
387,1998 07 01 Wed,2.46
388,1998 07 02 Thu,2.36
389,1998 07 03 Fri,
390,1998 07 06 Mon,2.38
391,1998 07 07 Tue,2.35
392,1998 07 08 Wed,2.39
393,1998 07 09 Thu,2.38
394,1998 07 10 Fri,2.32
395,1998 07 13 Mon,2.3
396,1998 07 14 Tue,2.23
397,1998 07 15 Wed,2.21
398,1998 07 16 Thu,2.15
399,1998 07 17 Fri,2.15
400,1998 07 20 Mon,2.18
401,1998 07 21 Tue,2.09
402,1998 07 22 Wed,2.0
403,1998 07 23 Thu,2.0
404,1998 07 24 Fri,1.97
405,1998 07 27 Mon,2.0
406,1998 07 28 Tue,1.97
407,1998 07 29 Wed,1.99
408,1998 07 30 Thu,1.95
409,1998 07 31 Fri,1.85
410,1998 08 03 Mon,1.84
411,1998 08 04 Tue,1.9
412,1998 08 05 Wed,1.91
413,1998 08 06 Thu,1.85
414,1998 08 07 Fri,1.82
415,1998 08 10 Mon,1.87
416,1998 08 11 Tue,1.87
417,1998 08 12 Wed,1.85
418,1998 08 13 Thu,1.83
419,1998 08 14 Fri,1.83
420,1998 08 17 Mon,1.93
421,1998 08 18 Tue,1.94
422,1998 08 19 Wed,1.96
423,1998 08 20 Thu,1.9
424,1998 08 21 Fri,1.93
425,1998 08 24 Mon,1.9
426,1998 08 25 Tue,1.89
427,1998 08 26 Wed,1.83
428,1998 08 27 Thu,1.76
429,1998 08 28 Fri,1.66
430,1998 08 31 Mon,1.61
431,1998 09 01 Tue,1.84
432,1998 09 02 Wed,1.72
433,1998 09 03 Thu,1.71
434,1998 09 04 Fri,1.71
435,1998 09 07 Mon,
436,1998 09 08 Tue,1.81
437,1998 09 09 Wed,1.78
438,1998 09 10 Thu,1.88
439,1998 09 11 Fri,1.86
440,1998 09 14 Mon,1.86
441,1998 09 15 Tue,1.94
442,1998 09 16 Wed,2.15
443,1998 09 17 Thu,2.12
444,1998 09 18 Fri,2.27
445,1998 09 21 Mon,2.18
446,1998 09 22 Tue,2.29
447,1998 09 23 Wed,2.19
448,1998 09 24 Thu,2.17
449,1998 09 25 Fri,2.38
450,1998 09 28 Mon,2.23
451,1998 09 29 Tue,2.06
452,1998 09 30 Wed,2.22
453,1998 10 01 Thu,2.33
454,1998 10 02 Fri,2.14
455,1998 10 05 Mon,2.09
456,1998 10 06 Tue,2.01
457,1998 10 07 Wed,2.05
458,1998 10 08 Thu,2.02
459,1998 10 09 Fri,1.8
460,1998 10 12 Mon,1.75
461,1998 10 13 Tue,1.7
462,1998 10 14 Wed,1.8
463,1998 10 15 Thu,1.75
464,1998 10 16 Fri,1.64
465,1998 10 19 Mon,1.74
466,1998 10 20 Tue,1.95
467,1998 10 21 Wed,2.04
468,1998 10 22 Thu,1.95
469,1998 10 23 Fri,1.84
470,1998 10 26 Mon,1.92
471,1998 10 27 Tue,1.85
472,1998 10 28 Wed,1.7
473,1998 10 29 Thu,2.0
